ID	Value
PBLTD2001	ਆਦਮ\N_NN ਰੂਪ\N_NN ਜਿਹਿਆ\RB ਤਨ\N_NN ਕੀਤਾ,\V_VM_VF ਕੌਣ\PR_PRQ ਬਣਦਾ\V_VM_VF ਆਪ\PR_PRF ਦੀਵਾਨਾ\N_NN ।\RD_PUNC
PBLTD2002	ਬਿਰਹੋਂ\N_NN ਭੂਤ\N_NN ਸ਼ੌਦਾਈ\N_NN ਕਰਕੇ,\V_VM_VNF ਅਤੇ\CC_CCD ਕਰਦਾ\V_VM_VF ਖ਼ਲਕ\N_NN ਬੇਗ਼ਾਨਾ\JJ ।\RD_PUNC
PBLTD2003	ਰਹਿਆ\PSP ਇਸ਼ਕ\N_NN ਪਹਾੜ\N_NN ਚਿਰੇਂਦਾ,\V_VM_VF ਅਤੇ\CC_CCD ਸੀ\V_VAUX ਫ਼ਰਹਾਦ\N_NNP ਨਿਸ਼ਾਨਾ\V_VM_VINF ।\RD_PUNC
PBLTD2004	ਸੋਈ\PR_PRP ਸ਼ਖ਼ਸ\N_NN ਬੋਲੇ\V_VM_VF ਵਿਚ\PSP ਮੇਰੇ,\PR_PRP ਇਵੇਂ\RB ਹਾਸ਼ਮ\N_NNP ਨਾਮ\N_NN ਬਹਾਨਾ\N_NN ।\RD_PUNC
PBLTD2005	ਆਦਰ\N_NN ਭਾਉ\N_NN ਜਗਤ\N_NN ਦਾ\PSP ਕਰੀਏ,\V_VM_VF ਅਤੇ\CC_CCD ਕਸਬੀ\N_NN ਕਹਿਣ\V_VM_VINF ਰਸੀਲਾ\JJ ।\RD_PUNC
PBLTD2006	ਜੇਕਰ\CC_CCS ਦੂਰ\RB ਹਟਾਏ\V_VM_VF ਲੋਕਾਂ,\N_NN ਅਤੇ\CC_CCD ਕਹਿਣ\V_VM_VINF ਸਵਾਨ\N_NN ਕੁਤੀਲਾ\JJ ।\RD_PUNC
PBLTD2007	ਦੇਸ\N_NN ਤਿਆਗ\N_NN ਫ਼ਕੀਰੀ\N_NN ਫੜੀਏ,\V_VM_VF ਨਹੀਂ\RP_NEG ਛੁਟਦਾ\V_VM_VF ਖੇਸ਼\N_NN ਕਬੀਲਾ\N_NN ।\RD_PUNC
PBLTD2008	ਹਾਸ਼ਮ\N_NNP ਖ਼ਿਆਲ\N_NN ਛੁਟੇ\V_VM ਨਹੀਂ\RP_NEG ਰਾਹੀਂ,\N_NN ਕੋਈ\DM_DMQ ਸੌ\QT_QTC ਤਦਬੀਰ\N_NN ਨ\RP_NEG ਹੀਲਾ\N_NN ।\RD_PUNC
PBLTD2009	ਆਸ਼ਕ\N_NN ਆਖ\N_NN ਦੇਖਾਂ\V_VM_VF ਕਿਸ\DM_DMQ ਖ਼ਾਤਰ,\N_NN ਨਿਤ\RB ਚਰਬੀ\N_NN ਮਾਸ\N_NN ਸੁਕਾਵਣ\V_VM_VINF ।\RD_PUNC
PBLTD2010	ਚਾਹੁਣ\N_NN ਹਰਫ਼\N_NN ਹਿਜਰ\N_NN ਦਾ\PSP ਲਿਖਿਆ,\V_VM_VF ਉਹ\PR_PRP ਕਾਗਜ਼\N_NN ਸਾਫ਼\JJ ਬਣਾਵਣ\V_VM_VINF |\RD_PUNC
