ID	Value
PBHED1	ਕੁਦਰਤ\N_NN ਵੱਲੋਂ\PSP ਮਨੁੱਖ\N_NN ਨੂੰ\PSP ਵਾਧੂ\QT_QTF ਦਾਤਾਂ\N_NN ਦਿੱਤੀਆਂ\V_VM_VF ਗਈਆਂ\V_VM_VF ਹਨ\V_VAUX |\N_NN
PBHED2	ਜਿਵੇਂ\N_NN ਦੋ\QT_QTC ਫੇਫੜੇ,\N_NN ਦੋ\QT_QTC ਕੰਨ\N_NN ਜਾਂ\CC_CCD ਦੋ\QT_QTC ਅੱਖਾਂ\N_NNP ।\RD_PUNC
PBHED3	ਬਦਕਿਸਮਤੀ\N_NN ਨਾਲ\PSP ਜੇਕਰ\CC_CCS ਇਹਨਾਂ\PR_PRP ’ਚੋਂ\PSP ਇੱਕ\QT_QTC ਅੰਗ\N_NN ਖ਼ਰਾਬ\N_NN ਵੀ\RP_RPD ਹੋ\V_VAUX ਜਾਵੇ\V_VM_VF ਤਾਂ\CC_CCD ਦੂਜੇ\N_NN ਅੰਗ\N_NN ਨਾਲ\PSP ਨਾਰਮਲ\N_NN ਜ਼ਿੰਦਗੀ\N_NN ਬਤੀਤੀ\N_NN ਕੀਤੀ\V_VM ਜਾ\V_VM_VF ਸਕਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBHED4	ਪ੍ਰਮਾਤਮਾ\N_NNP ਨੇ\PSP ਮਨੁੱਖ\N_NN ਨੂੰ\PSP ਗੁਰਦੇ\N_NN ਵੀ\RP_RPD ਦੋ\QT_QTC (ਸੱਜਾ\RB ਤੇ\CC_CCD ਖੱਬਾ)\RB ਬਖ਼ਸ਼ੇ\N_NN ਹਨ\V_VAUX |\RD_PUNC
PBHED5	ਜੋ\DM_DMD ਪੇਟ\N_NN ਵਿੱਚ\PSP ਪਿਛਲੇ\RB ਪਾਸੇ\N_NN ਰੀੜ\N_NN ਦੀ\PSP ਹੱਡੀ\N_NN ਦੇ\PSP ਆਸ-ਪਾਸ\RB ਫਿੱਟ\N_NN ਕੀਤੇ\V_VM_VF ਹੋਏ\V_VM_VF ਹਨ\V_VAUX ।\RD_PUNC
PBHED6	ਗੁਰਦਿਆਂ\N_NN ਦਾ\PSP ਕੰਮ\N_NN ਹੈ\V_VAUX ਸਰੀਰ\N_NN ਦੀਆਂ\PSP ਵੱਖ-ਵੱਖ\PSP ਕਿਰਿਆਵਾਂ\V_VM ਦੌਰਾਨ\V_VM_VF ਪੈਦਾ\V_VM ਹੋਏ\V_VM_VF ਜ਼ਹਿਰੀਲੇ\JJ ਤੇ\CC_CCD ਫ਼ਾਲਤੂ\N_NN ਤੱਤਾਂ\N_NN ਨੂੰ\PSP ਪਿਸ਼ਾਬ\N_NN ਰਾਹੀਂ\V_VM_VF ਬਾਹਰ\RB ਕੱਢਣਾ\V_VM_VNG ਤੇ\CC_CCD ਸਰੀਰ\N_NN ਵਿੱਚ\PSP ਪਾਣੀ\N_NN ਦੀ\PSP ਮਿਕਦਾਰ\N_NN ਦਾ\PSP ਸੰਤੁਲਨ\N_NN ਰੱਖਣਾ\V_VM_VNG ।\RD_PUNC
PBHED7	ਗੁਰਦੇ\N_NN ਇੱਕ\QT_QTC ਛਣਨੀ\N_NN ਦਾ\PSP ਕੰਮ\N_NN ਕਰਦੇ\V_VM_VF ਹਨ\V_VAUX |\RD_PUNC
PBHED8	ਅਤੇ\CC_CCD ਜ਼ਹਿਰੀਲੇ\JJ ਪਦਾਰਥਾਂ\N_NN ਨੂੰ\PSP ਪੁਣ\N_NN ਕੇ\CC_CCD ਤੇ\N_NN ਵਾਧੂ\N_NN ਪਾਣੀ\N_NN ਨੂੰ\PSP ਛਾਣ\N_NN ਕੇ\N_NN ਪਿਸ਼ਾਬ\N_NN ਬਣਾਉਂਦੇ\V_VM_VF ਹਨ\V_VAUX |\RD_PUNC
PBHED9	ਜੋ\PR_PRQ ਬਾਅਦ\RB ਵਿੱਚ\PSP ਮਸਾਨੇ\N_NN ਤਕ\RB ਪਹੁੰਚਦਾ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBHED10	ਅਸੀਂ\PR_PRP ਆਪਣੀ\PR_PRF ਇੱਛਾ\JJ ਅਨੁਸਾਰ\N_NN ਇਸ\PR_PRP ਨੂੰ\PSP ਸਰੀਰ\N_NN ’ਚੋਂ\PSP ਬਾਹਰ\RB ਕੱਢਦੇ\V_VM_VF ਹਾਂ\V_VAUX ।\RD_PUNC
