ID	Value
PBSPD2001	ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ਨੂੰ\PSP ਆਪਣੀ\PR_PRF ਜਨਮ\N_NN ਤਾਰੀਖ਼\N_NN ਬਾਰੇ\RB ਕੁਝ\DM_DMQ ਨਹੀਂ\RP_NEG ਪਤਾ\V_VM_VF ।\RD_PUNC
PBSPD2002	ਪੰਜਾਬੀ\N_NNP ਸ਼ਾਇਰ\N_NN ਪਾਸ਼\N_NNP ਦੀ\PSP ਮਦਦ\N_NN ਨਾਲ\PSP 1977\QT_QTC ਵਿੱਚ\PSP ਪੰਜਾਬੀ\N_NNP ’ਚ\PSP ਲਿਖੀ\V_VM_VF ਗਈ\V_VM_VF ਆਪਣੀ\PR_PRF ਸਵੈ-ਜੀਵਨੀ\N_NN ‘\N_NN ਉੱਡਣਾ\JJ ਸਿੱਖ\JJ :\RD_PUNC ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ’\RD_PUNC ਵਿੱਚ\PSP ਉਹ\PR_PRP ਦੱਸਦਾ\V_VM_VF ਹੈ\V_VAUX ਕਿ\CC_CCS ਜਿਸ\PR_PRL ਵੇਲੇ\N_NN ਦੇਸ਼\N_NN ਦੀ\PSP ਵੰਡ\N_NN ਹੋਈ\V_VM_VF ,\RD_PUNC ਉਦੋਂ\RB ਉਹ\PR_PRP ਕੋਈ\DM_DMQ 14\QT_QTC ਕੁ\QT_QTF ਵਰ੍ਹਿਆਂ\N_NN ਦਾ\PSP ਹੋਵੇਗਾ\V_VM_VF ।\RD_PUNC
PBSPD2003	ਉਸ\PR_PRP ਨੂੰ\PSP ਜਿੱਥੇ\PR_PRL ਮੁਜ਼ੱਫਰਾਬਾਦ\N_NNP (\RD_SYM ਹੁਣ\RB ਪਾਕਿਸਤਾਨ\N_NNP ’ਚ\PSP )\RD_SYM ਦੇ\PSP ਪਿੰਡ\N_NN ਗੋਬਿੰਦਪੁਰਾ\N_NNP ਵਿੱਚ\PSP ਬਿਤਾਇਆ\V_VM_VINF ਬਚਪਨ\N_NN ਅੱਜ\RB ਵੀ\RP_RPD ਯਾਦ\N_NN ਹੈ\V_VAUX ,\RD_PUNC ਉੱਥੇ\RB ਦੇਸ਼\N_NN ਵੰਡ\N_NN ਵੇਲੇ\N_NN ਭੜਕੇ\V_VM_VF ਦੰਗਿਆਂ\N_NN ਵਿੱਚ\PSP ਉਸ\PR_PRP ਦੇ\PSP ਮਾਪਿਆਂ\N_NN ਅਤੇ\CC_CCD ਚਾਰ\QT_QTC ਭੈਣਾਂ-ਭਰਾਵਾਂ\N_NN ਦਾ\PSP ਕਤਲ\N_NN ਹੋਣ\V_VM_VNF ਦੀ\PSP ਘਟਨਾ\N_NN ਉਸ\PR_PRP ਨੂੰ\PSP ਅੱਜ\RB ਵੀ\RP_RPD ਪ੍ਰੇਸ਼ਾਨ\N_NN ਕਰ\V_VM ਦਿੰਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBSPD2004	ਅਖ਼ਬਾਰ\N_NN ‘\N_NN ਹਿੰਦੁਸਤਾਨ\N_NNP ਟਾਈਮਜ਼\N_NNP ’\N_NN ਵਿੱਚ\PSP ਛਪੇ\V_VM_VF ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ਦੀ\PSP ਸਵੈ-ਜੀਵਨੀ\N_NN ਦੇ\PSP ਅੰਸ਼ਾਂ\N_NN ਅਨੁਸਾਰ\PSP ਉਸ\PR_PRP ਨੂੰ\PSP ਦੰਗਿਆਂ\N_NN ’ਚੋਂ\PSP ਬਚਣ\V_VM_VINF ਤੋਂ\PSP ਬਾਅਦ\RB ਇਹ\PR_PRP ਪਤਾ\N_NN ਨਹੀਂ\RP_NEG ਸੀ\V_VAUX ਲੱਗਦਾ\V_VM_VF ਕਿ\CC_CCS ਉਹ\PR_PRP ਦੰਗਿਆਂ\N_NN ’ਚੋਂ\PSP ਜਿਊਂਦਾ\N_NN ਬਚਣ\V_VM_VINF ਕਾਰਨ\N_NN ਖ਼ੁਦ\PR_PRF ਨੂੰ\PSP ਖੁਸ਼ਕਿਸਮਤ\N_NN ਸਮਝੇ\V_VM_VF ਜਾਂ\CC_CCD ਮਾਪਿਆਂ\N_NN ਅਤੇ\CC_CCD ਭੈਣ-ਭਰਾਵਾਂ\N_NN ਨੂੰ\PSP ਗੁਆਉਣ\V_VM_VINF ਕਾਰਨ\N_NN ਬਦਕਿਸਮਤ\N_NN ।\RD_PUNC
PBSPD2005	ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ਦੇ\PSP ਪਰਿਵਾਰ\N_NN ’ਚੋਂ\PSP ਉਹ\PR_PRP ,\RD_PUNC ਉਸ\PR_PRP ਦਾ\PSP ਵੱਡਾ\JJ ਭਰਾ\N_NN ਮੱਖਣ\N_NNP ਸਿੰਘ\N_NNP ਅਤੇ\CC_CCD ਉਸ\PR_PRP ਦੀ\PSP ਪਤਨੀ\N_NN ਅਤੇ\CC_CCD ਦੋ\QT_QTC ਵਿਆਹੀਆਂ\N_NN ਹੋਈਆਂ\V_VM ਭੈਣਾਂ\N_NN ਹੀ\RP_RPD ਦੰਗਿਆਂ\N_NN ’ਚੋਂ\PSP ਜਿਊਂਦੇ\N_NN ਬਚੇ\V_VM_VF ।\RD_PUNC
PBSPD2006	ਦੰਗਿਆਂ\N_NN ਤੋਂ\PSP ਤਿੰਨ\QT_QTC ਦਿਨ\N_NN ਪਹਿਲਾਂ\RB 17\QT_QTC ਅਗਸਤ\N_NNP 1947\QT_QTC ਨੂੰ\PSP ਘਰਦਿਆਂ\N_NN ਨੇ\PSP ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ਨੂੰ\PSP ਉਸ\PR_PRP ਦੇ\PSP ਵੱਡੇ\JJ ਭਰਾ\N_NN ਮੱਖਣ\N_NNP ਸਿੰਘ\N_NNP ,\RD_PUNC ਜੋ\DM_DMR ਫ਼ੌਜ\N_NN ਵਿੱਚ\PSP ਸੀ\V_VAUX ,\RD_PUNC ਕੋਲ\RB ਪਿੰਡ\N_NN ਦੀ\PSP ਦੰਗਾਕਾਰੀਆਂ\N_NN ਤੋਂ\PSP ਰੱਖਿਆ\V_VM_VNF ਲਈ\PSP ਮਦਦ\N_NN ਲੈਣ\V_VM_VINF ਲਈ\PSP ਮੁਲਤਾਨ\N_NNP ਭੇਜਿਆ\V_VM_VF ।\RD_PUNC
PBSPD2007	ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ਸਵੈ-ਜੀਵਨੀ\N_NN ਵਿੱਚ\PSP ਲਿਖਦਾ\V_VM_VF ਹੈ\V_VAUX ,\RD_PUNC ‘‘\RD_PUNC ਜਦੋਂ\PR_PRL ਮੈਂ\PR_PRP ਆਪਣੇ\PR_PRF ਭਰਾ\N_NN ਕੋਲ\RB ਜਾ\V_VM_VNF ਰਿਹਾ\V_VM_VF ਸੀ\V_VAUX ਤਾਂ\CC_CCS ਰਾਹ\N_NN ਵਿੱਚ\PSP ਦੰਗਾਕਾਰੀਆਂ\N_NN ਦੀ\PSP ਭੀੜ\N_NN ਨੂੰ\PSP ਦੇਖ\V_VM ਕੇ\V_VM_VNF ਮੈਂ\PR_PRP ਔਰਤਾਂ\N_NN ਵਾਲੇ\PSP ਡੱਬੇ\N_NN ਵਿੱਚ\PSP ਸੀਟ\N_NN ਦੇ\PSP ਹੇਠਾਂ\RB ਛੁਪ\V_VM ਗਿਆ\V_VM_VF ,\RD_PUNC ਪ੍ਰੰਤੂ\CC_CCS ਕੁਝ\DM_DMQ ਔਰਤਾਂ\N_NN ਨੇ\PSP ਮੈਨੂੰ\PR_PRP ਉੱਥੇ\RB ਛੁਪਿਆ\V_VM_VF ਦੇਖ\V_VM ਲਿਆ\V_VM_VF ।\RD_PUNC
PBSPD2008	ਉਨ੍ਹਾਂ\PR_PRL ਨੇ\PSP ਮੈਨੂੰ\PR_PRP ਚੋਰ\N_NN ਸਮਝ\V_VM_VNF ਲਿਆ\V_VM_VF ।\RD_PUNC
PBSPD2009	ਮੈਂ\PR_PRP ਉਨ੍ਹਾਂ\PR_PRL ਦੇ\PSP ਬਹੁਤ\JJ ਹਾੜੇ\N_NN ਕੱਢੇ\V_VM_VF ,\RD_PUNC ਅਖ਼ੀਰ\RB ਉਨ੍ਹਾਂ\PR_PRL ਨੇ\PSP ਮੈਨੂੰ\PR_PRP ਆਪਣੇ\PR_PRF ਨਾਲ\PSP ਹੀ\RP_RPD ਡੱਬੇ\N_NN ਵਿੱਚ\PSP ਸਫ਼ਰ\N_NN ਕਰਨ\V_VM_VINF ਦਿੱਤਾ\V_VM_VF ।\RD_PUNC ’’\RD_PUNC
PBSPD2010	ਮਿਲਖਾ\N_NNP ਸਿੰਘ\N_NNP ਦੇ\PSP ਭਰਾ\N_NN ਮੱਖਣ\N_NNP ਸਿੰਘ\N_NNP ਨੇ\PSP ਆਪਣੀ\PR_PRF ਫ਼ੌਜੀ\N_NN ਯੂਨਿਟ\N_NN ਦੇ\PSP ਕਮਾਂਡਰ\N_NN ਨੂੰ\PSP ਪਿੰਡ\N_NN ਵਾਲਿਆਂ\PSP ਦੀ\PSP ਮਦਦ\N_NN ਲਈ\PSP ਰਾਜ਼ੀ\N_NN ਕਰ\V_VM ਲਿਆ\V_VM_VF ।\RD_PUNC
