ID	Value
PBRED1	ਸਰਬੰਸ\N_NN ਦਾਨੀ\N_NN ਸ੍ਰੀ\N_NN ਗੁਰੂ\N_NN ਗੋਬਿੰਦ\N_NN ਸਿੰਘ\N_NN ਜੀ\RP_INJ ਇਕ\RB ਸੰਤ\N_NN ਸਿਪਾਹੀ\N_NN ਸਨ\V_VAUX |\RD_PUNC
PBRED2	ਇਕ\QT_QTC ਇਨਕਲਾਬੀ\JJ ਯੋਧਾ\JJ ਸਨ\V_VAUX ।\RD_PUNC
PBRED3	ਉਨ੍ਹਾਂ\PR_PRP ਪਹਿਲੇ\QT_QTO ਨੌਂ\QT_QTC ਗੁਰੂ\N_NN ਸਾਹਿਬਾਨ\N_NN ਵਾਂਗ\N_NN ਜਿੱਥੇ\PR_PRL ਸਾਂਝੀਵਾਲਤਾ,\N_NN ਨਾਮ\N_NN ਜਪਣ,\N_NN ਇਕ\QT_QTC ਸੱਚਾ\JJ ਸੁੱਚਾ\JJ ਜੀਵਨ\N_NN ਬਿਤਾਉਣ\V_VM_VNF ਦਾ\PSP ਸੰਦੇਸ਼\N_NN ਦਿਤਾ,\V_VM_VNF ਉੱਥੇ\DM_DMD ਖਾਲਸਾ\N_NNP ਪੰਥ\N_NNP ਦੀ\PSP ਸਾਜਨਾ\N_NN ਕਰ\V_VM ਕੇ\PSP ਹਿੰਦੁਸਤਾਨ\N_NN ਦੇ\PSP ਇਤਿਹਾਸ\N_NN ਦਾ\PSP ਰੁਖ਼\N_NN ਮੋੜ\V_VM ਦਿੱਤਾ\V_VM_VNF ।\RD_PUNC
PBRED4	ਇਕ\N_NN ਨਿਤਾਣੀ\N_NN ਹੋ\V_VAUX ਚੁੱਕੀ\V_VM_VF ਭਾਰਤੀ\N_NN ਕੌਮ\N_NN ਵਿਚ\PSP ਅਜਿਹਾ\N_NN ਜਜ਼ਬਾ\JJ ਭਰਿਆ\V_VM_VF ਕਿ\CC_CCS ਚਿੜੀਆਂ\N_NN ਨੂੰ\PSP ਬਾਜ਼ਾਂ\N_NN ਨਾਲ,\PSP ਸਵਾ\QT_QTC ਲੱਖ\JJ ਨਾਲ\PSP ਇਕ\QT_QTC ਖਾਲਸਾ\N_NNP ਲੜਾ\N_NN ਕੇ\PSP ਭਾਰਤੀ\N_NN ਸਮਾਜ\N_NN ਦਾ\PSP ਮੂੰਹ\N_NN ਮੁਹਾਂਦਰਾ\N_NN ਬਦਲ\N_NN ਕੇ\PSP ਰੱਖ\V_VM ਦਿੱਤਾ\V_VM_VINF ।\RD_PUNC
PBRED5	ਜੇ\CC_CCS ਸ੍ਰੀ\N_NN ਗੁਰੂ\N_NN ਗੋਬਿੰਦ\N_NNP ਸਿੰਘ\N_NNP ਜੀ\RP_INJ ਅਵਤਾਰ\N_NN ਨਾ\RP_NEG ਧਾਰਦੇ\V_VM_VF ਤਾਂ\PSP ਅੱਜ\N_NN ਹਿੰਦੁਸਤਾਨ\N_NN ਦਾ\PSP ਇਤਿਹਾਸ\N_NN ਅਤੇ\CC_CCD ਇਸ\DM_DMD ਦਾ\PSP ਭੂਗੋਲਿਕ\N_NN ਨਕਸ਼ਾ\N_NN ਹੋਰ\N_NN ਹੁੰਦਾ,\V_VM_VF ਭਾਰਤੀਆਂ\N_NN ਦਾ\PSP ਧਾਰਮਿਕ,\N_NN ਇਤਿਹਾਸਿਕ\N_NN ਤੇ\N_NN ਸੱਭਿਆਚਾਰਕ\N_NN ਵਿਰਸਾ\N_NN ਹੋਰ\N_NN ਹੁੰਦਾ\V_VM_VF ।\RD_PUNC
PBRED6	ਇਸ\DM_DMD ਬਾਰੇ\N_NN ਹੋਰ\N_NN ਗੱਲ\N_NN ਕਰਨ\V_VM_VNF ਤੋਂ\PSP ਪਹਿਲਾਂ\JJ ਗੁਰੂ\N_NN ਸਾਹਿਬਾਨ\N_NN ਦੇ\PSP ਸਮੇਂ\N_NN ਦੇ\PSP ਹਿੰਦੁਸਤਾਨ\N_NN ਦੀ\PSP ਸਥਿਤੀ\N_NN ਬਾਰੇ\N_NN ਚਰਚਾ\N_NN ਕਰਨੀ\V_VM_VNF ਬਹੁਤ\JJ ਜ਼ਰੂਰੀ\N_NN ਹੈ\V_VAUX ।\RD_PUNC
PBRED7	ਇਸ\DM_DMD ਬਾਰੇ\N_NN ਨਾਮਵਰ\N_NN ਆਰੀਆ\N_NN ਸਮਾਜੀ\N_NN ਵਿਦਵਾਨ\N_NN ਲਾਲਾ\N_NN ਦੌਲਤ\N_NNP ਰਾਏ\N_NNP ਦੀ\PSP ਖੋਜ\N_NN ਭਰਪੂਰ\JJ ਲਿਖਤ\N_NN “\RD_PUNC ਸਾਹਿਬੇ\N_NN ਕਮਾਲ\N_NN ਗੁਰੂ\N_NN ਗੋਬਿੰਦ\N_NNP ਸਿੰਘ\N_NNP ਜੀ\RP_INJ ”\RD_PUNC ਅਨੁਸਾਰ\N_NN ਸਿੱਖ\N_NN ਧਰਮ\N_NN ਦੀ\PSP ਨੀਂਹ\N_NN ਸ੍ਰੀ\N_NN ਗੁਰੂ\N_NN ਨਾਨਕ\N_NNP ਦੇਵ\N_NN ਜੀ\RP_INTF ਨੇ\PSP ਬਾਬਰ\N_NN ਦੇ\PSP ਸਮੇਂ\N_NN ਰੱਖੀ\V_VM_VF ।\RD_PUNC
PBRED8	ਬਾਬਰ\N_NN ਦੇ\PSP ਹਿੰਦੁਸਤਾਨ\N_NN ਉੱਤੇ\N_NN ਹਮਲੇ\N_NN ਤੋਂ\PSP ਲੱਗਭਗ\N_NN 350\JJ ਵਰ੍ਹੇ\N_NN ਪਹਿਲਾਂ\JJ ਹੀ\RP_RPD ਹਿੰਦੁਸਤਾਨ\N_NN ਦੇ\PSP ਬਹੁਤ\RB ਸਾਰੇ\RB ਇਲਾਕੇ\N_NN ਇਸਲਾਮੀ\N_NN ਹਕੂਮਤ\N_NN ਅਧੀਨ\N_NN ਆ\V_VM ਚੁੱਕੇ\V_VM_VF ਸਨ\V_VAUX ।\RD_PUNC
PBRED9	ਮੁਸਲਮਾਨਾਂ\N_NN ਨੂੰ\PSP ਕਿਹੜੀਆਂ\N_NN ਗੱਲਾਂ\N_NN ਨੇ\PSP ਸੋਨੇ\N_NN ਦੀ\PSP ਚਿੜ੍ਹੀ\N_NN ਕਹੇ\N_NN ਜਾਣ\N_NN ਵਾਲੇ\PSP ਹਿੰਦੁਸਤਾਨ\N_NN ਵਿਚ\PSP ਆਉਣ\V_VM ਲਈ\PSP ਪ੍ਰੇਰਿਆ\N_NN ਦਾ\PSP ਜ਼ਿਕਰ\N_NN ਕਰਦਿਆਂ\V_VM_VF ਉਹ\DM_DMD ਜ਼ਾਤ-ਪਾਤ\N_NN ਤੇ\PSP ਊਚ-ਨੀਚ\N_NN ਦੇ\PSP ਵਖਰੇਵੇਂ\N_NN ,\RD_PUNC ਭਰਮ\N_NN ,\RD_PUNC ਵਹਿਮ\N_NN ,\RD_PUNC ਇਖਲਾਕੀ\JJ ਕਦਰਾਂ\N_NN ਕੀਮਤਾਂ\N_NN ਵਿਚ\PSP ਆਏ\V_VM ਨਿਘਾਰ\N_NN ਆਦਿ\N_NN ਬਾਰੇ\N_NN ਲਿਖਦੇ\V_VM_VF ਹਨ,\N_NN “ਮਨੂੰ\N_NNP ਤੇ\N_NN ਮਹਾਂਭਾਰਤ\N_NNP ਦੇ\PSP ਜ਼ਮਾਨੇ\N_NN ਪਿੱਛੋਂ\N_NN ਹਿੰਦੂ\N_NN ਧਰਮ\N_NN ਵਿਚ\PSP ਭਾਰੀ\N_NN ਤਬਦੀਲੀ\N_NN ਆਈ\V_VM ।\RD_PUNC
PBRED10	ਹਿੰਦੂ\N_NN ਕੌਮ\N_NN ਦੀ\PSP ਏਕਤਾ\N_NN ਨਾ\RP_NEG ਰਹੀ\V_VM_VF ।\RD_PUNC
