ID	Value
PBAD4001	ਝੋਨੇ\N_NN ਦੀ\PSP ਵਧੀਆ\JJ ਕੁਆਲਿਟੀ\N_NN ਅਤੇ\CC_CCD ਪਾਣੀ\N_NN ਦੀ\PSP ਬੱਚਤ\N_NN ਕਰਨ\V_VM_VF ਲਈ\PSP ਪਨੀਰੀ\N_NN 10\QT_QTF ਮਈ\N_NN ਤੱਕ\PSP ਬੀਜੋ\V_VM_VF ।\RD_PUNC
PBAD4002	ਝੋਨੇ\N_NN ਦੀ\PSP ਕਾਸ਼ਤ\N_NN ਰੇਤਲੀਆਂ\JJ ਜ਼ਮੀਨਾਂ\N_NN ਵਿਚ\PSP ਨਾ\RP_NEG ਕਰੋ\V_VM_VF ।\RD_PUNC
PBAD4003	ਟੱਬ\N_NN ਜਾਂ\CC_CCD ਬਾਲਟੀ\N_NN ਵਿੱਚ\PSP ਲੋੜ\N_NN ਅਨੁਸਾਰ\RB ਬੀਜ\N_NN ਨੂੰ\PSP ਪਾਣੀ\N_NN ਵਿੱਚ\PSP ਪਾਉ\V_VM_VF ਅਤੇ\CC_CCD ਚੰਗੀ\RB ਤਰ੍ਹਾਂ\PSP ਹਿਲਾਉ\V_VM_VF ।\RD_PUNC
PBAD4004	12-15\QT_QTF ਟਨ\N_NN ਗਲੀ-ਸੜੀ\JJ ਰੂੜੀ\N_NN ਜਾਂ\CC_CCD ਕੰਪੋਸਟ\N_NN ਇੱਕ\QT_QTC ਏਕੜ\N_NN ਦੇ\PSP ਹਿਸਾਬ\N_NN ਨਾਲ\PSP ਮਿੱਟੀ\N_NN ਵਿੱਚ\PSP ਰਲਾਉ\V_VM_VF ।\RD_PUNC
PBAD4005	ਝੋਨਾ\N_NN ਝਾੜਨ\V_VM_VF ਵਾਲੀਆਂ\PSP ਕਈ\DM_DMQ ਮਸ਼ੀਨਾਂ\N_NN ਵੀ\RP_RPD ਮਿਲਦੀਆਂ\V_VM_VF ਹਨ\V_VAUX ,\RD_PUNC ਕਣਕ\N_NN ਤੇ\CC_CCD ਝੋਨਾ\N_NN ਗਾਹੁਣ\V_VM_VINF ਲਈ\PSP ਬਹੁ-ਫ਼ਸਲੀ\JJ ਥਰੈਸ਼ਰ\N_NN ਵੀ\RP_RPD ਵਰਤਿਆ\V_VM_VF ਜਾ\V_VM_VNF ਸਕਦਾ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBAD4006	ਇਸ\PR_PRP ਤਰ੍ਹਾਂ\PSP ਝੋਨੇ\N_NN ਦਾ\PSP ਔਸਤ\N_NN ਝਾੜ\N_NN 5541\QT_QTF ਕਿਲੋ\N_NN ਪ੍ਰਤੀ\N_NN ਹੈਕਟੇਅਰ\N_NN (2216\QT_QTF ਕਿਲੋ\N_NN ਪ੍ਰਤੀ\N_NN ਏਕੜ)\N_NN ਹੋਇਆ\V_VM_VF |\RD_PUNC
PBAD4007	ਝੋਨੇ\N_NN ਦੀਆਂ\PSP ਅਰਧ-ਬੋਣੀਆਂ\JJ ਕਿਸਮਾਂ\N_NN ਵਾਂਗ\RB ਬਾਸਮਤੀ\N_NN ਦੀਆਂ\PSP ਕਿਸਮਾਂ\N_NN ਨੂੰ\PSP ਵੀ\RP_RPD ਲੰਮੇਂ\RB ਸਮੇਂ\N_NN ਲਈ\PSP ਧੁੱਪ\N_NN ,\RD_PUNC ਵਧੇਰੇ\RB ਨਮੀ\N_NN ਅਤੇ\CC_CCD ਯਕੀਨੀ\N_NN ਪਾਣੀ\N_NN ਦੀ\PSP ਲੋੜ\N_NN ਹੈ\V_VAUX ।\RD_PUNC
PBAD4008	ਫ਼ਸਲ\N_NN ਝਾੜਨ\V_VM ਵਿਚ\PSP ਦੇਰੀ\RB ਨਾਲ\PSP ਦਾਣੇ\N_NN ਬਹੁਤ\DM_DMQ ਝੜ\V_VM ਜਾਂਦੇ\V_VM_VF ਹਨ\V_VAUX ,\RD_PUNC ਝਾੜ\N_NN ਘੱਟ\RB ਜਾਂਦਾ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBAD4009	ਫ਼ਸਲ\N_NN ਦੀ\PSP ਕਟਾਈ\N_NN ਪੂਰੀ\RB ਪੱਕਣ\V_VM_VINF ਤੇ\CC_CCD ਹੀ\RP_RPD ਕਰੋ\V_VM_VF ।\RD_PUNC
PBAD4010	ਨਾਈਟ੍ਰੋਜਨੀ\N_NN ਅਤੇ\CC_CCD ਰੂੜੀ\N_NN ਦੀ\PSP ਖਾਦ\N_NN ਦੀ\PSP ਵਰਤੋਂ\V_VM ਲੋੜ\N_NN ਅਨੁਸਾਰ\N_NN ਕਰੋ\V_VM_VF ।\RD_PUNC
PBAD4011	ਘੱਟ\JJ ਸਮਾਂ\N_NN ਲੈਣ\V_VM_VINF ਵਾਲੀ\PSP ਪੀ\N_NN ਆਰ\N_NN 115\QT_QTF ਕਿਸਮ\N_NN ਦੀ\PSP ਕਾਸ਼ਤ\N_NN ਫ਼ਸਲ\N_NN ਚੱਕਰ\N_NN ਦੀਆ\PSP ਖਾਸ\JJ ਹਾਲਤਾਂ\N_NN ਵਿਚ\PSP ਕਰੋ\V_VM_VF ।\RD_PUNC
PBAD4012	ਇਸ\PR_PRP ਫਸਲ\N_NN ਦੇ\PSP ਠੀਕ\RB ਵੱਧਣ-ਫੁੱਲਣ\N_NN ਲਈ\PSP 20\QT_QTF ਤੋਂ\PSP 37.5\QT_QTF ਡਿਗਰੀ\N_NN ਸੈਂਟੀਗਰੇਡ\N_NN ਤਾਪਮਾਨ\N_NN ਬਹੁਤ\DM_DMQ ਚੰਗਾ\JJ ਹੈ\V_VAUX |\RD_PUNC
PBAD4013	ਜ਼ਮੀਨ\N_NN ਦੀ\PSP ਕਿਸਮ\N_NN :\RD_PUNC ਝੋਨਾਂ\N_NN ਉਨ੍ਹਾਂ\RB ਜ਼ਮੀਨਾਂ\N_NN ਵਿਚ\PSP ਬੀਜਿਆ\V_VM_VF ਜਾ\V_VM_VNF ਸਕਦਾ\V_VM_VF ਹੈ\V_VAUX ਜਿੰਨ੍ਹਾਂ\RB ਵਿਚ\PSP ਪਾਣੀ\N_NN ਛੇਤੀ\RB ਨਹੀਂ\RP_NEG ਰਿਸਦਾ\V_VM_VF |\RD_PUNC
PBAD4014	ਪੀ\N_NN ਆਰ\N_NN 118\QT_QTF :\RD_PUNC ਇਹ\PR_PRP ਝੋਨੇ\N_NN ਦੀ\PSP ਅਰਧ\JJ ਬੌਣੀ\JJ ਕਿਸਮ\N_NN ਹੈ\V_VAUX ।\RD_PUNC
PBAD4015	ਪੀ\N_NN ਆਰ\N_NN 116\QT_QTF ਇਹ\PR_PRP ਇਕ\QT_QTC ਅਰਧ\JJ ਬੌਣੀ\JJ ਕਿਸਮ\N_NN ਹੈ\V_VAUX |\RD_PUNC
PBAD4016	ਪੀ\N_NN ਆਰ\N_NN 114\QT_QTF :\RD_PUNC ਇਸਦਾ\PR_PRP ਔਸਤ\N_NN ਝਾੜ\N_NN 27.5\QT_QTF ਕੁਇੰਟਲ/ਏਕੜ\N_NN ਹੈ\V_VAUX ।\RD_PUNC
PBAD4017	ਪੀ\N_NN ਆਰ\N_NN 111\QT_QTF ਇਸਦੇ\PR_PRP ਪੌਦਿਆਂ\N_NN ਦੀ\PSP ਔਸਤ\N_NN ਉਚਾਈ\N_NN 97\QT_QTF ਸੈਂਟੀਮੀਟਰ\N_NN ਹੁੰਦੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
