ID	Value
PBSTD1001	8\QT_QTC ਨਵੰਬਰ\N_NN 1895\QT_QTC ਨੂੰ\PSP ਵਿਲਹੈਲਮ\N_NNP ਕੋਨਾਰਡ\N_NNP ਰੌਂਟਜਿੰਨ\N_NNP ਨੇ\PSP ਅਜਿਹੀਆਂ\PR_PRL ਕਿਰਨਾਂ\N_NN ਦੀ\PSP ਖੋਜ\N_NN ਕੀਤੀ\V_VM_VF ਜੋ\CC_CCD ਕਾਗਜ਼\N_NN ,\RD_PUNC ਕੱਪੜਾ\N_NN ,\RD_PUNC ਗੱਤਾ\N_NN ਅਤੇ\CC_CCD ਲੱਕੜ\N_NN ਆਦਿ\RP_CL ਵਿਚੋਂ\PSP ਗੁਜ਼ਰ\N_NN ਸਕਦੀਆਂ\V_VM_VNF ਸਨ\V_VAUX ।\RD_PUNC
PBSTD1002	ਰੌਂਟਜਿੰਨ\N_NNP ਨੇ\PSP ਵੇਖਿਆ\V_VM_VF ਕਿ\CC_CCS ਇਹਨਾਂ\PR_PRL ਕਿਰਨਾਂ\N_NN ਉਪਰ\RB ਚੁੰਬਕੀ\N_NN ਅਤੇ\CC_CCD ਬਿਜਲਈ\N_NN ਪ੍ਰਭਾਵ\N_NN ਵੀ\RP_RPD ਪ੍ਰਭਾਵਕੁੰਨ\N_NN ਨਹੀਂ\RP_NEG ਸੀ\V_VAUX ।\RD_PUNC
PBSTD1003	ਇਹਨਾਂ\PR_PRL ਕਿਰਨਾਂ\N_NN ਨੂੰ\PSP ਰੌਂਟਜਿੰਨ\N_NNP ਨੇ\PSP ‘\RD_PUNC ਗਣਿਤ\N_NN ਦੇ\PSP ਨਿਯਮਾਂ\N_NN ’\RD_PUNC ਅਨੁਸਾਰ\N_NN ਐਕਸ-ਰੇ\N_NN ਦਾ\PSP ਨਾਂ\N_NN ਦਿੱਤਾ\V_VM_VF ।\RD_PUNC
PBSTD1004	ਇਸ\PR_PRP ਭੌਤਿਕ\N_NN ਵਿਗਿਆਨੀ\N_NN ਨੇ\PSP ਐਕਸ-ਰੇ\N_NN ਕਿਰਨਾਂ\N_NN ਦੀ\PSP ਪਹਿਲੀ\RB ਅਜ਼ਮਾਇਸ਼\N_NN ਵੀ\RP_RPD ਆਪਣੀ\PR_PRF ਪਤਨੀ\N_NN ਅੰਨਾ\N_NNP ਬੈਰੁੱਖਾ\N_NNP ਲੁਡਵਿੰਗ\N_NNP ਦੇ\PSP ਹੱਥ\N_NN ਦੀ\PSP ਐਕਸ-ਰੇ\N_NN ਫ਼ਿਲਮ\N_NN ਬਣਾ\V_VM_VINF ਕੇ\V_VM_VINF ਕੀਤੀ\V_VM_VF ।\RD_PUNC
PBSTD1005	ਇਸ\PR_PRP ਮਹਾਨ\N_NN ਖੋਜ\N_NN ਲਈ\PSP ਜਿੱਥੇ\PR_PRL ਰੌਂਟਜਿੰਨ\N_NNP ਨੇ\PSP ਅਨੇਕਾਂ\QT_QTF ਮਾਣ-ਸਨਮਾਨ\JJ ਪ੍ਰਾਪਤ\N_NN ਕੀਤੇ\V_VM_VF ,\RD_PUNC ਉਥੇ\RB ਉਸ\PR_PRP ਨੂੰ\PSP ਸੰਨ\N_NN 1901\QT_QTC ਵਿਚ\PSP ਨੋਬੇਲ\N_NNP ਪੁਰਸਕਾਰ\N_NNP ਨਾਲ\PSP ਵੀ\RP_RPD ਸਨਮਾਨਿਤ\JJ ਕੀਤਾ\V_VM_VF ਗਿਆ\V_VM_VF ।\RD_PUNC
PBSTD1006	ਉੱਚੀ-ਸੁੱਚੀ\RB ਸੋਚ\N_NN ਦੇ\PSP ਧਾਰਨੀ\N_NN ਵਿਲਹੈਲਮ\N_NNP ਕੋਨਾਰਡ\N_NNP ਰੌਂਟਜਿੰਨ\N_NNP ਨੇ\PSP ਪੁਰਸਕਾਰ\N_NN ’\RD_PUNC ਚ\PSP ਮਿਲੀ\V_VM_VF ਤਮਾਮ\DM_DMQ ਰਕਮ\N_NN ਆਪਣੀ\PR_PRF ਕਰਮ-ਭੂਮੀ\JJ ਵਰਜ਼ਬਰਗ\N_NNP ਯੂਨੀਵਰਸਿਟੀ\N_NNP ਨੂੰ\PSP ਦਾਨ\N_NN ਵਜੋਂ\PSP ਦੇ\PSP ਦਿੱਤੀ\V_VM_VF ।\RD_PUNC
PBSTD1007	ਅੱਜ\RB ਦੁਨੀਆਂ\N_NN ਵਿਚ\PSP ਐਕਸ-ਰੇ\N_NN ਸਹੂਲਤ\N_NN ਮਨੁੱਖੀ\N_NN ਸਰੀਰ\N_NN ਅੰਦਰ\RB ਆਏ\V_VM_VF ਵਿਗਾੜਾਂ\JJ ,\RD_PUNC ਨੁਕਸਾਂ\N_NN ਅਤੇ\CC_CCD ਰੁਕਾਵਟਾਂ\N_NN ਆਦਿ\RP_CL ਲੱਭਣ\N_NN ਲਈ\PSP ਵਰਦਾਨ\N_NN ਸਾਬਤ\JJ ਹੋ\V_VAUX ਰਹੀ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBSTD1008	ਇਹਨਾਂ\PR_PRP ਕਿਰਨਾਂ\N_NN ਨੂੰ\PSP ਲੱਭਣ\N_NN ਵਾਲਾ\PSP ਇਹ\DM_DMD ਵਿਗਿਆਨੀ\N_NN ਵਿਲਹੈਲਮ\N_NNP ਕੋਨਾਰਡ\N_NNP ਰੌਂਟਜਿੰਨ\N_NNP ਆਖਰ\RB ਐਕਸ-ਰੇ\N_NN ਕਿਰਨਜ਼\N_NN ਦੇ\PSP ਮਾਰੂ\JJ ਪ੍ਰਭਾਵ\JJ ਦਾ\PSP ਹੀ\RP_RPD ਸ਼ਿਕਾਰ\N_NN ਹੋ\V_VAUX ਕੇ\V_VM_VINF ਅੰਤੜੀਆਂ\N_NN ਦੇ\PSP ਕੈਂਸਰ\N_NN ਨਾਲ\PSP 10\QT_QTC ਫਰਵਰੀ\N_NN 1923\QT_QTC ਨੂੰ\PSP ਦੁਨੀਆਂ\N_NN ਨੂੰ\PSP ਅਲਵਿਦਾ\RP_INJ ਆਖ\V_VM_VF ਗਿਆ\V_VM_VF ।\RD_PUNC
PBSTD1009	ਇਸ\PR_PRP ਚਮਤਕਾਰੀ\N_NN ਲੱਭਤ\N_NN ਨਾਲ\PSP ਸੰਸਾਰ\N_NN ਭਰ\DM_DMQ ਵਿਚ\PSP ਗੰਭੀਰ\RB ਤੋਂ\PSP ਗੰਭੀਰ\RB ਬੀਮਾਰੀਆਂ\N_NN ਬਾਰੇ\PSP ਪਤਾ\V_VM_VF ਲਗਾਇਆ\V_VM_VF ਜਾ\V_VM_VF ਰਿਹਾ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
PBSTD1010	ਰੇਡੀਓਗ੍ਰਾਫੀ\N_NN ਦਾ\PSP ਖੇਤਰ\N_NN ਅੱਜ\RB ਦੇ\PSP ਦੌਰ\RB ਵਿਚ\PSP ਬਹੁਤ\QT_QTF ਹੀ\RP_RPD ਵਿਸ਼ਾਲ\JJ ਰੂਪ\N_NN ਧਾਰਨ\N_NN ਕਰ\V_VM_VF ਚੁੱਕਾ\V_VM_VNF ਹੈ\V_VAUX ।\RD_PUNC
PBSTD1011	ਰੇਡੀਓਗ੍ਰਾਫੀ\N_NN ਵਿਭਾਗ\N_NN ਨੂੰ\PSP ਅੱਜ\RB ਕੱਲ\RB ਡਾਇਆਗਨੋਸਿਸ\N_NN ਅਤੇ\CC_CCD ਇਸੋਜਿੰਗ\N_NN ਵਿਭਾਗ\N_NN ਨਾਲ\PSP ਜਾਣਿਆ\V_VM_VF ਜਾਂਦਾ\V_VM_VF ਹੈ\V_VAUX ।\RD_PUNC
