ID	Value
PBED1	ਪ੍ਰਤਿਭਾਵਾਨ\N_NN ਨਿਰਦੇਸ਼ਕ\N_NN ਸੰਜੇ\N_NNP ਲੀਲਾ\N_NNP ਭੰਸਾਲੀ\N_NNP ਨੇ\PSP `\RD_PUNC ਮੈਰੀਕਾਮ\N_NNP ਬਾਇਓਪਿਕ\N_NN `\RD_PUNC ਲਈ\PSP ਪ੍ਰਿਅੰਕਾ\N_NNP ਦੀ\PSP ਬਹੁਤ\JJ ਤਾਰੀਫ਼\N_NN ਕੀਤੀ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBED2	`\RD_PUNC ਪਿ੍ਅੰਕਾ\N_NNP ਤੋਂ\PSP ਵਧੀਆ\N_NN ਕੋਈ\QT_QTF ਹੋਰ\N_NN ਇਹ\DM_DMR ਕਿਰਦਾਰ\N_NN ਨਿਭਾਅ\N_NN ਹੀ\RP_RPD ਨਹੀਂ\RP_NEG ਸੀ\V_VAUX ਸਕਦਾ\V_VM_VF `\RD_PUNC ਭੰਸਾਲੀ\N_NNP ਦੇ\PSP ਲਫ਼ਜ਼\N_NN ਹਨ\V_VAUX |\RD_PUNC
PBED3	ਪ੍ਰਤਿਭਾ\N_NN ਦਾ\PSP ਖਜ਼ਾਨਾ,\N_NN ਅਭਿਨੈ\N_NN ਦੀ\PSP ਮੰੁਦਰੀ\N_NN ਤੇ\CC_CCD ਐਕਟਿੰਗ\N_NN ਦੀ\PSP ਮਹਾਰਾਣੀ\N_NN ਤੱਕ\PSP ਭੰਸਾਲੀ\N_NNP ਨੇ\PSP ਪਿ੍ਅੰਕਾ\N_NNP ਨੂੰ\PSP ਕਿਹਾ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBED4	ਕੰਮ\N_NN ਦਾ\PSP ਜਾਨੂੰਨ\N_NN ਤੇ\CC_CCD ਲਗਨ\N_NN ਪੀ.\N_NN ਸੀ.\N_NN `\RD_PUNC ਚ\PSP ਬਹੁਤ\N_NN ਹੈ\V_VAUX |\RD_PUNC
PBED5	`\RD_PUNC ਮਰਦਾਨੀ\N_NNP `\RD_PUNC ,\RD_PUNC `\RD_PUNC ਕਵੀਨ\N_NNP `\RD_PUNC ,\RD_PUNC `\RD_PUNC ਕਹਾਨੀ\N_NNP `\RD_PUNC ਤੋਂ\PSP ਬਾਅਦ\RB ਪਿ੍ਅੰਕਾ\N_NNP ਦੀ\PSP ਇਸ\DM_DMR ਫ਼ਿਲਮ\N_NN ਨੇ\PSP ਰਿਕਾਰਡ\N_NN ਬਣਾਉਣੇ\V_VM_VINF ਸ਼ੁਰੂ\RB ਕਰ\V_VM ਦਿੱਤੇ\V_VM_VF ਹਨ\V_VAUX |\RD_PUNC
PBED6	ਅਮਰੀਕਨ\N_NNP ਮਾਡਲ\N_NN ਨਰਗਿਸ\N_NNP ਫਾਖਰੀ\N_NNP ਅੱਜ\RB ਹਿੰਦੀ\N_NNP ਸਿਨੇਮਾ\N_NN ਦੀ\PSP ਸੋਹਣੀ\JJ ਤੇ\CC_CCD ਲੋਕਪ੍ਰਿਆ\JJ ਹੀਰੋਇਨ\N_NN ਹੈ\V_VAUX |\RD_PUNC
PBED7	ਕੁਝ\QT_QTF ਮਾੜੇ\N_NN ਲੇਖ\N_NN ਉਪਰੋਂ\N_NN ਲਿਖਵਾ\V_VM_VF ਕੇ\RP_RPD ਆਈ\V_VM_VF ਕਹਿ\V_VM ਲਵੋ\V_VM_VF ਕਿ\CC_CCS ਬਾਲੀਵੁੱਡ\N_NN ਨੇ\PSP ਉਸ\PR_PRP ਨੂੰ\PSP `\RD_PUNC ਬੁੱਢੀ\JJ ਨਾਇਕਾ\N_NN `\RD_PUNC ਸਮਝ\N_NN ਕੇ\RP_RPD ਖੰੂਜੇ\N_NN ਲਾ\V_VM ਦਿੱਤਾ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBED8	ਮਜਬੂਰੀ\N_NN ਹੀ\RP_RPD ਹੈ\V_VAUX ਕਿ\CC_CCS ਨਰਗਿਸ\N_NNP ਅੱਜ\RB ਦੱਖਣ\N_NN ਜਾ\V_VM ਕੇ\RP_RPD ਹਰ\QT_QTF ਦਰਜੇ\N_NN ਦੀਆਂ\PSP ਫ਼ਿਲਮਾਂ\N_NN ਕਰਨ\V_VM_VF ਲਈ\PSP ਤਿਆਰ\N_NN ਬੈਠੀ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBED9	ਪਾਕਿਸਤਾਨੀ\N_NN ਮੂਲ\N_NN ਦੀ\PSP ਇਹ\DM_DMR ਅਭਿਨੇਤਰੀ\N_NN ਕਦੇ-ਕਦੇ\RB ਆਪ\PR_PRF ਹੀ\RP_RPD ਕਹਿ\V_VM ਦਿੰਦੀ\V_VM_VF ਹੈ\V_VAUX ਕਿ\CC_CCS ਪਾਕਿਸਤਾਨ\N_NN ਦੀ\PSP ਸੁਪਰ\JJ ਹੀਰੋਇਨ\N_NN ਵੀ\RP_RPD ਬਾਲੀਵੁੱਡ\N_NN `\RD_PUNC ਚ\PSP ਦੂਜੇ-ਤੀਸਰੇ\QT_QTO ਦਰਜੇ\N_NN ਦੀ\PSP ਇਕ-ਦੋ\QT_QTF ਫ਼ਿਲਮਾਂ\N_NN ਕਰਨ\V_VM_VNF ਉਪਰੰਤ\RB ਬਣ\V_VM ਜਾਂਦੀ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBED9	ਪਾਕਿਸਤਾਨੀ\N_NN ਮੂਲ\N_NN ਦੀ\PSP ਇਹ\DM_DMR ਅਭਿਨੇਤਰੀ\N_NN ਕਦੇ-ਕਦੇ\RB ਆਪ\PR_PRF ਹੀ\RP_RPD ਕਹਿ\V_VM ਦਿੰਦੀ\V_VM_VF ਹੈ\V_VAUX ਕਿ\CC_CCS ਪਾਕਿਸਤਾਨ\N_NN ਦੀ\PSP ਸੁਪਰ\JJ ਹੀਰੋਇਨ\N_NN ਵੀ\RP_RPD ਬਾਲੀਵੁੱਡ\N_NN `\RD_PUNC ਚ\PSP ਦੂਜੇ-ਤੀਸਰੇ\QT_QTO ਦਰਜੇ\N_NN ਦੀ\PSP ਇਕ-ਦੋ\QT_QTF ਫ਼ਿਲਮਾਂ\N_NN ਕਰਨ\V_VM_VNF ਉਪਰੰਤ\RB ਬਣ\V_VM ਜਾਂਦੀ\V_VM_VF ਹੈ\V_VAUX |\RD_PUNC
PBED10	`\RD_PUNC ਮਦਰਾਸ\N_NNP ਕੈਫ਼ੇ\N_NNP `\RD_PUNC ,\RD_PUNC `\RD_PUNC ਮੈਂ\N_NNP ਤੇਰਾ\N_NNP ਹੀਰੋ\N_NNP `\RD_PUNC ਫ਼ਿਲਮਾਂ\N_NN `\RD_PUNC ਚ\PSP ਉਸ\PR_PRP ਦੀ\PSP ਸ਼ਲਾਘਾ\N_NN ਵੀ\RP_RPD ਹੋਈ\V_VM_VF ਪਰ\CC_CCD ਕਰਮ\N_NN ਨਿੱਕੀ\N_NN ਹੁੰਦੇ\V_VM_VF ਦੇ\PSP ਹੀ\RP_RPD ਦੁੱਖਾਂ\N_NN ਦੀ\PSP ਪਟਾਰੀ,\N_NN ਪੀੜਾਂ\N_NN ਦਾ\PSP ਪਰਾਗਾ\N_NN ਲੈ\V_VM ਕੇ\RP_RPD ਆਏ\V_VM_VF ਸਨ\V_VAUX |\RD_PUNC
PBED11	6-7\QT_QTC ਸਾਲ\N_NN ਦੀ\PSP ਸੀ\V_VAUX ਉਹ\PR_PRP ਕਿ\CC_CCS ਮਾਂ-ਬਾਪ\N_NN `\RD_PUNC ਚ\PSP ਖੜਕ\N_NN ਪਈ\V_VM_VF ,\RD_PUNC ਤਲਾਕ\N_NN ਹੋ\V_VM ਗਿਆ\V_VM_VF ,\RD_PUNC ਪਰਵਰਿਸ਼\N_NN ਹੀ\RP_RPD ਦੁੱਖਾਂ\N_NN ਦੇ\PSP ਬਾਲਣ\V_VM_VNF ਨਾਲ\PSP ਪੱਕਣ\V_VM_VNF ਲੱਗੀ\V_VM_VF |\RD_PUNC
